Date,ID,Email Received,Email Opened,Link Clicked
9/29/2019,C068,TRUE,FALSE,FALSE
12/25/2019,C026,FALSE,FALSE,FALSE
9/30/2019,C109,TRUE,TRUE,FALSE
9/10/2019,C169,FALSE,FALSE,FALSE
1/26/2019,C100,FALSE,FALSE,FALSE
6/24/2019,C030,FALSE,FALSE,FALSE
1/22/2019,C131,FALSE,FALSE,FALSE
8/8/2019,C066,FALSE,FALSE,FALSE
1/23/2019,C059,FALSE,FALSE,FALSE
8/10/2019,C214,FALSE,FALSE,FALSE
8/21/2019,C248,TRUE,FALSE,FALSE
3/26/2019,C146,TRUE,TRUE,TRUE
5/2/2019,C177,FALSE,FALSE,FALSE
7/26/2019,C167,FALSE,FALSE,FALSE
9/12/2019,C063,TRUE,TRUE,FALSE
7/1/2019,C162,TRUE,TRUE,FALSE
6/13/2019,C223,TRUE,FALSE,FALSE
9/22/2019,C066,TRUE,TRUE,TRUE
12/8/2019,C051,FALSE,FALSE,FALSE
11/14/2019,C162,TRUE,TRUE,FALSE
4/22/2019,C141,TRUE,TRUE,TRUE
6/18/2019,C104,FALSE,FALSE,FALSE
1/17/2019,C106,FALSE,FALSE,FALSE
10/31/2019,C080,TRUE,FALSE,FALSE
10/11/2019,C207,FALSE,FALSE,FALSE
3/23/2019,C250,TRUE,TRUE,FALSE
6/27/2019,C012,FALSE,FALSE,FALSE
7/30/2019,C184,TRUE,FALSE,FALSE
8/5/2019,C223,TRUE,FALSE,FALSE
11/14/2019,C068,TRUE,TRUE,FALSE
6/29/2019,C236,TRUE,TRUE,FALSE
12/17/2019,C016,FALSE,FALSE,FALSE
7/1/2019,C072,FALSE,FALSE,FALSE
4/2/2019,C189,FALSE,FALSE,FALSE
5/5/2019,C153,TRUE,TRUE,TRUE
9/16/2019,C018,TRUE,TRUE,TRUE
8/15/2019,C084,TRUE,FALSE,FALSE
1/7/2019,C158,TRUE,FALSE,FALSE
11/14/2019,C025,FALSE,FALSE,FALSE
11/14/2019,C077,TRUE,TRUE,FALSE
2/19/2019,C160,FALSE,FALSE,FALSE
9/22/2019,C035,FALSE,FALSE,FALSE
3/31/2019,C152,TRUE,FALSE,FALSE
7/8/2019,C232,FALSE,FALSE,FALSE
2/21/2019,C259,TRUE,TRUE,FALSE
2/20/2019,C215,TRUE,TRUE,FALSE
12/20/2019,C084,FALSE,FALSE,FALSE
9/11/2019,C139,FALSE,FALSE,FALSE
10/20/2019,C180,TRUE,TRUE,TRUE
10/29/2019,C007,TRUE,FALSE,FALSE
2/26/2019,C006,TRUE,FALSE,FALSE
8/21/2019,C178,TRUE,FALSE,FALSE
9/26/2019,C187,FALSE,FALSE,FALSE
12/26/2019,C214,TRUE,FALSE,FALSE
1/12/2019,C088,FALSE,FALSE,FALSE
3/16/2019,C251,FALSE,FALSE,FALSE
9/3/2019,C124,FALSE,FALSE,FALSE
7/4/2019,C001,FALSE,FALSE,FALSE
9/22/2019,C158,TRUE,TRUE,FALSE
8/7/2019,C235,FALSE,FALSE,FALSE
4/27/2019,C179,TRUE,TRUE,FALSE
4/28/2019,C135,FALSE,FALSE,FALSE
4/4/2019,C231,TRUE,TRUE,FALSE
4/24/2019,C233,TRUE,TRUE,FALSE
7/8/2019,C132,FALSE,FALSE,FALSE
12/22/2019,C246,FALSE,FALSE,FALSE
10/26/2019,C055,FALSE,FALSE,FALSE
4/29/2019,C095,FALSE,FALSE,FALSE
8/17/2019,C243,TRUE,TRUE,FALSE
6/10/2019,C095,FALSE,FALSE,FALSE
4/16/2019,C033,TRUE,TRUE,FALSE
7/28/2019,C073,FALSE,FALSE,FALSE
3/4/2019,C107,TRUE,FALSE,FALSE
3/19/2019,C121,FALSE,FALSE,FALSE
12/30/2019,C114,TRUE,FALSE,FALSE
8/17/2019,C209,TRUE,TRUE,TRUE
9/23/2019,C206,TRUE,FALSE,FALSE
8/19/2019,C213,FALSE,FALSE,FALSE
9/25/2019,C056,TRUE,FALSE,FALSE
9/4/2019,C063,TRUE,TRUE,TRUE
1/22/2019,C100,FALSE,FALSE,FALSE
6/18/2019,C124,FALSE,FALSE,FALSE
1/9/2019,C021,TRUE,TRUE,TRUE
9/14/2019,C080,FALSE,FALSE,FALSE
7/7/2019,C114,FALSE,FALSE,FALSE
9/19/2019,C218,TRUE,TRUE,FALSE
8/23/2019,C190,FALSE,FALSE,FALSE
12/16/2019,C133,TRUE,TRUE,FALSE
9/2/2019,C185,TRUE,FALSE,FALSE
9/26/2019,C169,TRUE,FALSE,FALSE
5/16/2019,C169,TRUE,TRUE,FALSE
8/25/2019,C232,TRUE,TRUE,FALSE
3/19/2019,C101,FALSE,FALSE,FALSE
7/10/2019,C107,TRUE,TRUE,TRUE
1/10/2019,C051,TRUE,FALSE,FALSE
11/24/2019,C252,FALSE,FALSE,FALSE
1/31/2019,C061,TRUE,TRUE,TRUE
4/24/2019,C238,FALSE,FALSE,FALSE
9/17/2019,C218,TRUE,TRUE,FALSE
12/12/2019,C243,TRUE,TRUE,FALSE
11/14/2019,C254,TRUE,TRUE,TRUE
5/26/2019,C012,FALSE,FALSE,FALSE
5/6/2019,C164,TRUE,TRUE,FALSE
