Date,ID,Emailreceived,Emailopened,Linkclicked
9/29/2019,C068,1,0,0
12/25/2019,C026,0,0,0
9/30/2019,C109,1,1,0
9/10/2019,C169,0,0,0
1/26/2019,C100,0,0,0
6/24/2019,C030,0,0,0
1/22/2019,C131,0,0,0
8/8/2019,C066,0,0,0
1/23/2019,C059,0,0,0
8/10/2019,C214,0,0,0
8/21/2019,C248,1,0,0
3/26/2019,C146,1,1,1
5/2/2019,C177,0,0,0
7/26/2019,C167,0,0,0
9/12/2019,C063,1,1,0
7/1/2019,C162,1,1,0
6/13/2019,C223,1,0,0
9/22/2019,C066,1,1,1
12/8/2019,C051,0,0,0
11/14/2019,C162,1,1,0
4/22/2019,C141,1,1,1
6/18/2019,C104,0,0,0
1/17/2019,C106,0,0,0
10/31/2019,C080,1,0,0
10/11/2019,C207,0,0,0
3/23/2019,C250,1,1,0
6/27/2019,C012,0,0,0
7/30/2019,C184,1,0,0
8/5/2019,C223,1,0,0
11/14/2019,C068,1,1,0
6/29/2019,C236,1,1,0
12/17/2019,C016,0,0,0
7/1/2019,C072,0,0,0
4/2/2019,C189,0,0,0
5/5/2019,C153,1,1,1
9/16/2019,C018,1,1,1
8/15/2019,C084,1,0,0
1/7/2019,C158,1,0,0
11/14/2019,C025,0,0,0
11/14/2019,C077,1,1,0
2/19/2019,C160,0,0,0
9/22/2019,C035,0,0,0
3/31/2019,C152,1,0,0
7/8/2019,C232,0,0,0
2/21/2019,C259,1,1,0
2/20/2019,C215,1,1,0
12/20/2019,C084,0,0,0
9/11/2019,C139,0,0,0
10/20/2019,C180,1,1,1
10/29/2019,C007,1,0,0
2/26/2019,C006,1,0,0
8/21/2019,C178,1,0,0
9/26/2019,C187,0,0,0
12/26/2019,C214,1,0,0
1/12/2019,C088,0,0,0
3/16/2019,C251,0,0,0
9/3/2019,C124,0,0,0
7/4/2019,C001,0,0,0
9/22/2019,C158,1,1,0
8/7/2019,C235,0,0,0
4/27/2019,C179,1,1,0
4/28/2019,C135,0,0,0
4/4/2019,C231,1,1,0
4/24/2019,C233,1,1,0
7/8/2019,C132,0,0,0
12/22/2019,C246,0,0,0
10/26/2019,C055,0,0,0
4/29/2019,C095,0,0,0
