Data,ID,Região,ID do produto,Categoria,Pontos,Column1
4/6/2019,C258,CO,281914369-5,Produtos para o negócio,760,4
11/10/2019,C212,CO,271951398-9,Produtos para o negócio,610,11
10/20/2019,C177,CO,788959641-3,Smartphones e Tablets,916,10
6/19/2019,C191,SUL,094714157-X,Smartphones e Tablets,123,6
12/9/2019,C144,NE,094714157-X,Smartphones e Tablets,104,12
4/26/2019,C085,CO,094714157-X,Smartphones e Tablets,677,4
3/27/2019,C190,NO,788959641-3,Smartphones e Tablets,782,3
1/6/2019,C008,SE,788959641-3,Smartphones e Tablets,572,1
1/3/2019,C138,NE,788959641-3,Smartphones e Tablets,826,1
3/15/2019,C257,NE,281914369-5,Produtos para o negócio,398,3
7/17/2019,C073,NO,094714157-X,Smartphones e Tablets,124,7
6/16/2019,C024,NE,782417101-9,Produtos para o negócio,404,6
11/5/2019,C114,CO,788959641-3,Smartphones e Tablets,152,11
6/18/2019,C067,SE,733547075-7,Cozinha,311,6
9/9/2019,C178,SUL,782417101-9,Produtos para o negócio,92,9
6/15/2019,C119,NO,542176934-8,Cozinha,645,6
10/5/2019,C244,SUL,788959641-3,Smartphones e Tablets,217,10
3/23/2019,C069,SE,782417101-9,Produtos para o negócio,936,3
2/16/2019,C110,SUL,542176934-8,Cozinha,899,2
3/27/2019,C044,SE,094714157-X,Smartphones e Tablets,229,3
5/28/2019,C049,SUL,949632246-8,Cozinha,603,5
8/10/2019,C142,SE,094714157-X,Smartphones e Tablets,652,8
4/18/2019,C185,SUL,949632246-8,Cozinha,363,4
1/9/2019,C060,SE,949632246-8,Cozinha,367,1
5/24/2019,C141,NE,542176934-8,Cozinha,924,5
10/24/2019,C038,SE,733547075-7,Cozinha,671,10
5/28/2019,C043,CO,941254104-X,Smartphones e Tablets,544,5
10/7/2019,C072,SE,788959641-3,Smartphones e Tablets,332,10
3/19/2019,C097,SUL,847676762-5,Produtos para o negócio,725,3
6/15/2019,C257,NE,733547075-7,Cozinha,461,6
6/8/2019,C238,SE,782417101-9,Produtos para o negócio,896,6
1/26/2019,C145,SUL,788959641-3,Smartphones e Tablets,356,1
5/9/2019,C069,SE,094714157-X,Smartphones e Tablets,598,5
2/13/2019,C097,SUL,094714157-X,Smartphones e Tablets,271,2
6/2/2019,C203,NE,281914369-5,Produtos para o negócio,486,6
5/31/2019,C029,CO,847676762-5,Produtos para o negócio,849,5
9/12/2019,C100,NO,281914369-5,Produtos para o negócio,600,9
3/23/2019,C233,SUL,271951398-9,Produtos para o negócio,966,3
12/11/2019,C221,CO,094714157-X,Smartphones e Tablets,460,12
8/3/2019,C068,NE,542176934-8,Cozinha,880,8
3/4/2019,C029,CO,094714157-X,Smartphones e Tablets,890,3
1/23/2019,C116,NO,094714157-X,Smartphones e Tablets,176,1
12/3/2019,C056,CO,094714157-X,Smartphones e Tablets,877,12
6/3/2019,C070,NE,271951398-9,Produtos para o negócio,830,6
8/13/2019,C249,SE,733547075-7,Cozinha,631,8
2/26/2019,C157,CO,271951398-9,Produtos para o negócio,469,2
8/11/2019,C004,SE,941254104-X,Smartphones e Tablets,717,8
9/16/2019,C085,CO,782417101-9,Produtos para o negócio,382,9
12/13/2019,C170,NO,788959641-3,Smartphones e Tablets,96,12
10/26/2019,C038,SE,271951398-9,Produtos para o negócio,105,10
11/14/2019,C175,SE,094714157-X,Smartphones e Tablets,109,11
6/6/2019,C191,SUL,782417101-9,Produtos para o negócio,685,6
7/18/2019,C161,SUL,542176934-8,Cozinha,70,7
12/30/2019,C250,CO,542176934-8,Cozinha,718,12
9/6/2019,C103,CO,847676762-5,Produtos para o negócio,833,9
3/14/2019,C094,NE,782417101-9,Produtos para o negócio,875,3
11/16/2019,C139,SE,733547075-7,Cozinha,513,11
5/4/2019,C005,CO,281914369-5,Produtos para o negócio,527,5
11/30/2019,C263,SE,271951398-9,Produtos para o negócio,206,11
12/20/2019,C096,SE,542176934-8,Cozinha,721,12
5/26/2019,C068,NE,949632246-8,Cozinha,455,5
7/10/2019,C214,NE,949632246-8,Cozinha,537,7
5/7/2019,C233,SUL,271951398-9,Produtos para o negócio,907,5
12/23/2019,C033,NE,542176934-8,Cozinha,587,12
9/16/2019,C259,CO,941254104-X,Smartphones e Tablets,97,9
11/2/2019,C228,SUL,542176934-8,Cozinha,211,11
12/2/2019,C079,SE,847676762-5,Produtos para o negócio,447,12
12/16/2019,C118,SUL,847676762-5,Produtos para o negócio,645,12
12/1/2019,C156,NO,733547075-7,Cozinha,211,12
1/5/2019,C149,NO,788959641-3,Smartphones e Tablets,234,1
4/5/2019,C227,NE,281914369-5,Produtos para o negócio,503,4
8/5/2019,C006,NO,941254104-X,Smartphones e Tablets,338,8
4/17/2019,C086,SE,281914369-5,Produtos para o negócio,808,4
4/17/2019,C069,SE,542176934-8,Cozinha,638,4
6/12/2019,C089,SUL,788959641-3,Smartphones e Tablets,803,6
3/18/2019,C033,NE,941254104-X,Smartphones e Tablets,56,3
3/1/2019,C172,SE,094714157-X,Smartphones e Tablets,48,3
10/7/2019,C156,NO,847676762-5,Produtos para o negócio,134,10
1/8/2019,C169,CO,941254104-X,Smartphones e Tablets,121,1
9/28/2019,C153,NE,941254104-X,Smartphones e Tablets,103,9
1/16/2019,C115,SE,733547075-7,Cozinha,266,1
12/12/2019,C013,CO,733547075-7,Cozinha,608,12
4/6/2019,C029,CO,941254104-X,Smartphones e Tablets,462,4
12/4/2019,C249,SE,094714157-X,Smartphones e Tablets,901,12
1/13/2019,C080,SE,847676762-5,Produtos para o negócio,507,1
8/6/2019,C213,NO,271951398-9,Produtos para o negócio,85,8
9/8/2019,C001,CO,094714157-X,Smartphones e Tablets,702,9
10/4/2019,C259,CO,271951398-9,Produtos para o negócio,486,10
6/16/2019,C076,SUL,094714157-X,Smartphones e Tablets,93,6
10/24/2019,C217,NO,949632246-8,Cozinha,652,10
11/1/2019,C078,NO,733547075-7,Cozinha,282,11
3/14/2019,C091,CO,271951398-9,Produtos para o negócio,111,3
10/2/2019,C193,NO,733547075-7,Cozinha,487,10
5/4/2019,C036,SUL,094714157-X,Smartphones e Tablets,934,5
4/7/2019,C176,NO,788959641-3,Smartphones e Tablets,202,4
2/12/2019,C144,NE,281914369-5,Produtos para o negócio,267,2
8/11/2019,C111,NO,788959641-3,Smartphones e Tablets,516,8
3/2/2019,C121,SE,271951398-9,Produtos para o negócio,581,3
11/2/2019,C208,SUL,733547075-7,Cozinha,341,11
7/5/2019,C040,NE,788959641-3,Smartphones e Tablets,889,7
5/16/2019,C254,NO,094714157-X,Smartphones e Tablets,684,5
5/3/2019,C004,SE,941254104-X,Smartphones e Tablets,106,5
3/20/2019,C216,SE,271951398-9,Produtos para o negócio,942,3
12/7/2019,C061,NO,847676762-5,Produtos para o negócio,816,12
8/28/2019,C120,CO,733547075-7,Cozinha,856,8
1/17/2019,C156,NO,788959641-3,Smartphones e Tablets,957,1
8/23/2019,C049,SUL,733547075-7,Cozinha,424,8
3/26/2019,C020,SUL,542176934-8,Cozinha,444,3
4/8/2019,C091,CO,542176934-8,Cozinha,151,4
12/14/2019,C237,NO,949632246-8,Cozinha,932,12
12/15/2019,C155,SE,847676762-5,Produtos para o negócio,296,12
6/19/2019,C036,SUL,281914369-5,Produtos para o negócio,699,6
4/28/2019,C155,SE,271951398-9,Produtos para o negócio,22,4
10/6/2019,C033,NE,542176934-8,Cozinha,639,10
11/1/2019,C074,CO,281914369-5,Produtos para o negócio,517,11
2/17/2019,C061,NO,271951398-9,Produtos para o negócio,292,2
8/26/2019,C013,CO,788959641-3,Smartphones e Tablets,716,8
1/23/2019,C201,NE,847676762-5,Produtos para o negócio,378,1
5/7/2019,C149,NO,733547075-7,Cozinha,983,5
8/10/2019,C001,CO,281914369-5,Produtos para o negócio,90,8
6/3/2019,C028,CO,271951398-9,Produtos para o negócio,923,6
5/22/2019,C189,NE,941254104-X,Smartphones e Tablets,221,5
9/10/2019,C151,NO,094714157-X,Smartphones e Tablets,313,9
11/11/2019,C163,SE,847676762-5,Produtos para o negócio,861,11
1/20/2019,C153,NE,733547075-7,Cozinha,606,1
7/24/2019,C157,CO,281914369-5,Produtos para o negócio,332,7
3/21/2019,C075,SE,271951398-9,Produtos para o negócio,774,3
5/26/2019,C189,NE,271951398-9,Produtos para o negócio,284,5
5/4/2019,C226,SUL,094714157-X,Smartphones e Tablets,167,5
4/6/2019,C081,NE,949632246-8,Cozinha,556,4
9/13/2019,C203,NE,847676762-5,Produtos para o negócio,688,9
6/20/2019,C164,NE,271951398-9,Produtos para o negócio,999,6
11/4/2019,C073,NO,788959641-3,Smartphones e Tablets,822,11
11/9/2019,C235,SUL,949632246-8,Cozinha,245,11
11/3/2019,C195,CO,847676762-5,Produtos para o negócio,827,11
7/8/2019,C209,NO,782417101-9,Produtos para o negócio,260,7
7/17/2019,C205,CO,782417101-9,Produtos para o negócio,328,7
6/26/2019,C155,SE,782417101-9,Produtos para o negócio,304,6
1/17/2019,C074,CO,941254104-X,Smartphones e Tablets,261,1
11/21/2019,C138,NE,847676762-5,Produtos para o negócio,430,11
9/17/2019,C209,NO,782417101-9,Produtos para o negócio,724,9
5/16/2019,C046,SE,271951398-9,Produtos para o negócio,564,5
6/9/2019,C232,SE,788959641-3,Smartphones e Tablets,292,6
10/12/2019,C236,NO,271951398-9,Produtos para o negócio,115,10
1/26/2019,C101,SUL,941254104-X,Smartphones e Tablets,619,1
6/5/2019,C140,NO,788959641-3,Smartphones e Tablets,350,6
2/13/2019,C187,SUL,941254104-X,Smartphones e Tablets,796,2
6/13/2019,C261,SUL,542176934-8,Cozinha,240,6
3/5/2019,C164,NE,847676762-5,Produtos para o negócio,484,3
